rating,author,date,popular mentions,review
1,Evelyn,2025-11-24,"Staff, Sales & Marketing","T-Mobile is a complete disaster. plan changes constantly, no one can help, and they keep charging me for services that don't work. Horrible!"
2,Doris,2025-11-22,"Customer Service, Coverage, Price","Terrible experience. signal strength is awful in my area, billing problems every month. Switching as soon as my contract is up."
2,Julia,2025-11-19,"Billing, Price",Do not recommend T-Mobile. unhelpful staff and my billing question are ongoing problems. No one seems to care about fixing anything.
2,Ashley,2025-11-17,"Coverage, Tech",Very disappointed with T-Mobile. plan changes constantly and customer service unhelpful staff. Would not recommend to others.
2,Juan,2025-11-17,"Coverage, Tech","Extremely frustrated with T-Mobile. billing errors monthly, coverage is terrible, and hotspot feature rarely works. Switching soon."
4,Grace,2025-11-17,"Customer Service, Online & App","T-Mobile is a solid carrier. tower access is good in most places, monthly rate is competitive. Not perfect but gets the job done."
2,Heather,2025-11-15,"Customer Service, Coverage, Price",Do not recommend T-Mobile. poor coverage and plan changes are ongoing problems. No one seems to care about fixing anything.
2,Michelle,2025-11-13,"Coverage, Tech",Do not recommend T-Mobile. billing errors and my billing question are ongoing problems. No one seems to care about fixing anything.
4,Lisa,2025-11-13,"Coverage, Honesty & Transparency","Switched from Cricket and mostly pleased. network availability is better in some areas, not as good in others. Customer service has been helpful when needed."
4,Susan,2025-11-12,"Customer Service, Online & App",Happy with T-Mobile service. 5G service is great but the app needs work. Would still recommend for the price point.
3,Nancy,2025-11-11,"Customer Service, Staff","Mediocre service. reception is spotty, payment issues are common. Used to be better but quality has declined."
2,Hannah,2025-11-10,"Customer Service, Punctuality & Speed, Staff","Service has deteriorated significantly. network availability is unreliable, password reset happens constantly. Customer service is unhelpful. Not worth it."
4,Ray,2025-11-08,"Customer Service, Coverage, Price, Punctuality & Speed, Honesty & Transparency","Honest assessment. I do have some background knowledge of phones and communications. Linda and I have been slowly combining things we both paid. Houses, insurance, living expenses as we get more settled in. One of the things we saw we could combine was our cell accounts to save some real $. I had ATT and she had T Mobile. After looking and discussing we decided we would consolidate me into T Mobile since some of the perks were better. I was very hesitant since I had heard good and bad about T Mobile. I have a hunting camp in rural Caldwell Parish so I was skeptical. It was worth the risk because ATT since their 5G migration is trash coverage almost everywhere, and they are not cheap. My summation is TM couldn't be much worse.
I have been pleasantly surprised by TM! It's coverage and speed beat ATT in almost every area I frequent. Even at the camp. Good thing is if you are in a fringe area or dead zone it creates a uplink to Starlink so your phone doesn't have connectivity as long as you are outdoors. It works to automatically, so there is no manual toggling back and forth. This is really a game changer for cell Services. The service we are on is priced very competitively. Definitely saving us some real $$. My opinion is worth what u paid for it...$0. jJust a heads up! May be worth looking into. We are on the Magenta 55+"
4,Gary,2025-11-08,"Staff, Maintenance","T-Mobile is a solid carrier. 5G access is good in most places, plan cost is competitive. Not perfect but gets the job done."
1,Nicole,2025-11-07,"Customer Service, Billing","T-Mobile has completely failed me. a device trade-in makes my phone useless, customer service overcharges. Feeling totally ripped off!"
5,Jennifer,2025-11-06,"Customer Service, Coverage, Price",Switched to T-Mobile 7 months ago and it was the best decision. text messaging works perfectly and I'm saving $50/month compared to my old carrier.
2,Olivia,2025-11-05,"Customer Service, Online & App","T-Mobile has been nothing but problems. account setup never gets resolved, data speeds doesn't work properly. Save yourself the hassle."
1,Gary,2025-11-03,"Coverage, Honesty & Transparency","T-Mobile is a complete disaster. technical issues constantly, no one can help, and they keep charging me for services that don't work. Horrible!"
5,Kevin,2025-11-02,"Customer Service, Punctuality & Speed, Staff",Outstanding service! The downtown store has amazing staff. David helped me with technical issues and went above and beyond. Best carrier I've had!
2,Donald,2025-11-01,"Customer Service, Billing","Service has deteriorated significantly. signal quality is unreliable, porting my number happens constantly. Customer service is unhelpful. Not worth it."
5,Carol,2025-11-01,"Coverage, Honesty & Transparency",Just upgraded my phone at T-Mobile and the experience was seamless. Tom made everything easy and I love my new device. Great service!
5,Catherine,2025-11-01,"Customer Service, Sales & Marketing, Price, Staff",Just upgraded my phone at T-Mobile and the experience was seamless. David made everything easy and I love my new device. Great service!
3,Joseph,2025-10-30,"Customer Service, Online & App",T-Mobile was great initially but password reset has become a regular problem. text messaging is unreliable. Considering switching carriers.
1,Blair,2025-10-28,"Customer Service, Refunds & Payouts, Billing","I cancelled my account with T-Mobile on October 10th, got a better deal with Visible. On October 26th I was billed $40.13 by T-Mobile for the billing period of October 7th thru November 7th. I called customer service to get my money back minus the 3 days I had service, but was told that it is T-Mobile’s policy to bill the entire month when an account is closed. So, I’m paying for 27 days of no service. I’m feeling very ripped off."
4,William,2025-10-28,"Billing, Price","Been with T-Mobile for 3 years. Service is generally good, hotspot feature works well most of the time. hidden fees is my only real complaint."
4,Christian,2025-10-25,"Coverage, Honesty & Transparency","T-Mobile is a solid carrier. tower access is good in most places, monthly rate is competitive. Not perfect but gets the job done."
5,Justin,2025-10-21,"Coverage, Price",Just upgraded my phone at T-Mobile and the experience was seamless. Alex made everything easy and I love my new device. Great service!
5,Philip,2025-10-21,"Tech, Price",Switched to T-Mobile 5 months ago and it was the best decision. text messaging works perfectly and I'm saving $50/month compared to my old carrier.
5,Sean,2025-10-19,"Price, Billing, Refunds & Payouts","T-Mobile's Senior plan is perfect for my needs. Great reception, fast 5G speeds, and the benefits are awesome. Best value in wireless!"
4,Ruth,2025-10-16,"Coverage, Price",Overall good experience with T-Mobile. The 5G access is decent and prices are fair. account setup could be improved but generally satisfied.
1,Matthew,2025-10-11,"Customer Service, Punctuality & Speed, Staff","Cancelling my service after years of loyalty. billing errors every month, 5G access has gotten progressively worse. Deplorable service!"
1,Ronald,2025-10-09,"Customer Service, Staff","Absolutely terrible service. plan changes every single day, customer service is useless. Switching carriers immediately. Avoid at all costs!"
5,Kimberly,2025-10-07,"Customer Service, Coverage, Price",Switched to T-Mobile 9 months ago and it was the best decision. hotspot feature works perfectly and I'm saving $30/month compared to my old carrier.
5,Bobby,2025-10-07,"Punctuality & Speed, Coverage",I've been with T-Mobile for 8 years and couldn't be happier. The 5G coverage is excellent and the representatives are always helpful. Would definitely recommend!
5,Donna,2025-10-04,"Coverage, Price","The customer service at T-Mobile is exceptional. Sarah at the nearby location was professional, knowledgeable, and friendly. Highly recommend!"
2,Judith,2025-10-04,"Customer Service, Online & App","Terrible experience. reception is awful in my area, invoicing problems every month. Switching as soon as my contract is up."
1,Madison,2025-10-03,"Customer Service, Online & App",One star is too generous. data issues has never been resolved after months of calling. international roaming is broken and they don't care. Absolutely furious!
5,Joan,2025-10-03,"Customer Service, Online & App","The customer service at T-Mobile is exceptional. David at the mall location was professional, knowledgeable, and friendly. Highly recommend!"
5,Terry,2025-10-03,"Customer Service, Sales & Marketing, Price, Staff","T-Mobile has exceeded my expectations. Great reception in my area, affordable discount, and the customer service is top-notch. Very satisfied!"
3,Lawrence,2025-10-02,"Customer Service, Online & App",T-Mobile has gone downhill since recent policy changes. network problems keeps happening and customer service unhelpful staff. Not impressed anymore.
5,Melissa,2025-09-29,"Coverage, Honesty & Transparency","The customer service at T-Mobile is exceptional. Mike at the central location was professional, knowledgeable, and friendly. Highly recommend!"
1,Judy,2025-09-28,"Staff, Sales & Marketing",Emergency calls only mode constantly. network availability map is a complete lie. technical issues and they refuse to refund or help. Worst company ever!
4,Bryan,2025-09-27,"Customer Service, Staff","T-Mobile is a solid carrier. 5G access is good in most places, charges is competitive. Not perfect but gets the job done."
3,Jacob,2025-09-26,"Price, Billing, Refunds & Payouts",T-Mobile has gone downhill since recent policy changes. technical issues keeps happening and customer service dropped calls. Not impressed anymore.
5,Keith,2025-09-26,"Customer Service, Sales & Marketing, Price, Staff",Been with T-Mobile for years and the service keeps getting better. call quality is amazing and the prices can't be beat. Very happy customer!
4,Eric,2025-09-22,"Customer Service, Sales & Marketing, Price, Staff",Happy with T-Mobile service. Coverage is great but coverage in rural areas needs work. Would still recommend for the price point.
4,Mary,2025-09-21,"Customer Service, Punctuality & Speed, Staff","Been with T-Mobile for 1 years. Service is generally good, mobile app works well most of the time. overcharges is my only real complaint."
5,Michael,2025-09-12,"Customer Service, Coverage, Price",Outstanding service! The local store has amazing staff. Sarah helped me with network problems and went above and beyond. Best carrier I've had!
4,Alice,2025-09-11,"Coverage, Honesty & Transparency","Been with T-Mobile for 8 years. Service is generally good, unlimited data works well most of the time. poor service is my only real complaint."
4,Lawrence,2025-09-09,"Staff, Maintenance",Overall good experience with T-Mobile. The 5G access is decent and prices are fair. network problems could be improved but generally satisfied.
3,Mary,2025-09-08,"Tech, Price",Service is hit or miss. coverage is good in some areas but terrible in others. hotspot feature needs improvement. Average at best.
5,Aaron,2025-09-06,"Staff, Sales & Marketing",Switched to T-Mobile 9 months ago and it was the best decision. network speed works perfectly and I'm saving $50/month compared to my old carrier.
1,Rose,2025-09-05,"Staff, Maintenance","Absolutely terrible service. a device trade-in every single day, customer service is useless. Switching carriers immediately. Avoid at all costs!"
1,Jeremy,2025-09-05,"Coverage, Price","T-Mobile is a complete disaster. a device trade-in constantly, no one can help, and they keep charging me for services that don't work. Horrible!"
3,Charles,2025-09-05,"Customer Service, Billing",T-Mobile was great initially but password reset has become a regular problem. hotspot feature is unreliable. Considering switching carriers.
4,Noah,2025-09-05,"Billing, Price","T-Mobile has been reliable for the most part. Good customer service and helpful staff, though dropped calls. Still a solid choice overall."
2,Christina,2025-09-03,"Billing, Price",Do not recommend T-Mobile. poor coverage and network problems are ongoing problems. No one seems to care about fixing anything.
4,Dylan,2025-09-02,"Staff, Maintenance",T-Mobile offers good value. Senior plan works well for my needs. Occasional porting my number but nothing major. Fair pricing and decent service.
5,Willie,2025-08-31,"Customer Service, Staff",I've been with T-Mobile for 3 years and couldn't be happier. The unlimited data is excellent and the team members are always helpful. Would definitely recommend!
3,Nicholas,2025-08-29,"Customer Service, Coverage, Price",T-Mobile has gone downhill since changing to new towers. my billing question keeps happening and customer service poor service. Not impressed anymore.
4,Thomas,2025-08-29,"Billing, Price","Switched from Sprint and mostly pleased. tower access is better in some areas, not as good in others. Customer service has been helpful when needed."
4,Michael,2025-08-26,"Customer Service, Sales & Marketing, Price, Staff","Switched from AT&T and mostly pleased. signal strength is better in some areas, not as good in others. Customer service has been helpful when needed."
1,Jack,2025-08-26,"Customer Service, Staff","Absolutely terrible service. a device trade-in every single day, customer service is useless. Switching carriers immediately. Avoid at all costs!"
5,Bryan,2025-08-26,"Price, Billing, Refunds & Payouts","T-Mobile's Family plan is perfect for my needs. Great reception, fast LTE speeds, and the perks are awesome. Best value in wireless!"
4,Anthony,2025-08-25,"Customer Service, Sales & Marketing, Price, Staff",The mall store provides good service. Jennifer was helpful with my technical issues. Wait times can be long but overall positive experience.
5,Ronald,2025-08-25,"Customer Service, Billing",Outstanding service! The mall store has amazing staff. Amanda helped me with porting my number and went above and beyond. Best carrier I've had!
5,Kathryn,2025-08-22,"Billing, Price",Just upgraded my phone at T-Mobile and the experience was seamless. the manager made everything easy and I love my new device. Great service!
4,Joan,2025-08-22,"Customer Service, Sales & Marketing, Price, Staff","T-Mobile has been reliable for the most part. Good customer service and helpful staff, though overcharges. Still a solid choice overall."
5,Joshua,2025-08-22,"Customer Service, Online & App",I've been with T-Mobile for 10 years and couldn't be happier. The hotspot feature is excellent and the representatives are always helpful. Would definitely recommend!
5,Sara,2025-08-21,"Punctuality & Speed, Coverage",I've been with T-Mobile for 8 years and couldn't be happier. The text messaging is excellent and the employees are always helpful. Would definitely recommend!
5,Joshua,2025-08-19,"Staff, Sales & Marketing","T-Mobile has exceeded my expectations. Great connectivity in my area, affordable monthly rate, and the customer service is top-notch. Very satisfied!"
1,Olivia,2025-08-18,"Coverage, Honesty & Transparency","Worst experience ever. reception is non-existent, charges is a nightmare, poor coverage. How are they still in business?"
4,Maria,2025-08-16,"Coverage, Tech","T-Mobile is a solid carrier. network availability is good in most places, value is competitive. Not perfect but gets the job done."
5,Kathryn,2025-08-15,"Billing, Price",Just upgraded my phone at T-Mobile and the experience was seamless. Chris made everything easy and I love my new device. Great service!
4,Jeremy,2025-08-14,"Customer Service, Sales & Marketing, Price, Staff",Happy with T-Mobile service. Plan flexibility is great but data throttling needs work. Would still recommend for the price point.
5,Daniel,2025-08-12,"Coverage, Honesty & Transparency",Switched to T-Mobile 11 months ago and it was the best decision. hotspot feature works perfectly and I'm saving $30/month compared to my old carrier.
4,Jennifer,2025-08-10,"Customer Service, Sales & Marketing, Price, Staff","Switched from Cricket and mostly pleased. signal strength is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Frances,2025-08-09,"Coverage, Price",Been with T-Mobile for years and the service keeps getting better. 5G coverage is amazing and the prices can't be beat. Very happy customer!
1,Kimberly,2025-08-08,"Customer Service, Staff",Emergency calls only mode constantly. 5G access map is a complete lie. my billing question and they refuse to refund or help. Worst company ever!
2,Judith,2025-08-07,"Coverage, Tech","Terrible experience. coverage is awful in my area, invoicing problems every month. Switching as soon as my contract is up."
3,Cheryl,2025-08-06,"Tech, Price","Mediocre service. network availability is spotty, payment issues are common. Used to be better but quality has declined."
5,Judy,2025-08-05,"Staff, Maintenance","The customer service at T-Mobile is exceptional. Amanda at the downtown location was professional, knowledgeable, and friendly. Highly recommend!"
5,Jacqueline,2025-08-03,"Billing, Price","T-Mobile's Military plan is perfect for my needs. Great 5G access, fast download speeds, and the features are awesome. Best value in wireless!"
5,Billy,2025-08-03,"Tech, Price",Been with T-Mobile for years and the service keeps getting better. network speed is amazing and the prices can't be beat. Very happy customer!
2,Michelle,2025-08-02,"Coverage, Price",Very disappointed with T-Mobile. data issues constantly and customer service slow speeds. Would not recommend to others.
1,Jeremy,2025-07-29,"Price, Billing, Refunds & Payouts",DO NOT USE T-MOBILE! reception doesn't exist where I live despite their coverage map showing full bars. poor service and total waste of money.
5,Brittany,2025-07-29,"Staff, Maintenance","The customer service at T-Mobile is exceptional. Jessica at the airport location was professional, knowledgeable, and friendly. Highly recommend!"
4,Kyle,2025-07-28,"Coverage, Price",Overall good experience with T-Mobile. The coverage is decent and prices are fair. a device trade-in could be improved but generally satisfied.
5,Scott,2025-07-28,"Price, Billing, Refunds & Payouts",Just upgraded my phone at T-Mobile and the experience was seamless. Jennifer made everything easy and I love my new device. Great service!
3,Louis,2025-07-27,"Billing, Price",T-Mobile is okay but has room for improvement. a device trade-in happens frequently and hidden fees. Considering other options.
4,Henry,2025-07-27,"Customer Service, Staff","T-Mobile is a solid carrier. signal strength is good in most places, plan cost is competitive. Not perfect but gets the job done."
4,Wayne,2025-07-27,"Coverage, Tech",Happy with T-Mobile service. Pricing is great but customer service needs work. Would still recommend for the price point.
3,Alan,2025-07-26,"Customer Service, Sales & Marketing, Price, Staff",The Unlimited plan is okay for the price but data issues is annoying. 5G coverage doesn't work as advertised. Somewhat disappointed.
4,Diane,2025-07-24,"Customer Service, Billing","Switched from Metro PCS and mostly pleased. network availability is better in some areas, not as good in others. Customer service has been helpful when needed."
3,Janice,2025-07-20,"Punctuality & Speed, Coverage",T-Mobile has gone downhill since the plan restructuring. password reset keeps happening and customer service unhelpful staff. Not impressed anymore.
1,Samantha,2025-07-19,"Price, Billing, Refunds & Payouts","T-Mobile has completely failed me. a device trade-in makes my phone useless, customer service dropped calls. Feeling totally ripped off!"
3,Megan,2025-07-19,"Customer Service, Coverage, Price",The Family plan is okay for the price but network problems is annoying. customer service doesn't work as advertised. Somewhat disappointed.
2,Stephanie,2025-07-18,"Customer Service, Billing","Worst carrier I've had. reception is spotty everywhere, poor coverage from customer service. Looking for alternatives immediately."
4,Stephen,2025-07-17,"Staff, Sales & Marketing","Switched from Metro PCS and mostly pleased. signal quality is better in some areas, not as good in others. Customer service has been helpful when needed."
5,Karen,2025-07-14,"Customer Service, Sales & Marketing, Price, Staff","The Oviedo T-Mobile near Lowe’s had an employee Mario whom is truly a great person and employee. I had gone into the store the day before and employee scanned my id that was attached to an old account be fore I was married (1998) and should have been closed . This means the merging or cancelled account was not the account I went in store for - I reset password and should have been helped with them calling T-Mobile on the phone in person- instead they sent me away and said call them on your own.
Only to have spent 8 hours 4 till 9m to get no where for there was two accounts in my name one should have been cancelled long ago! The next morning T-Mobile activation dept was to call me to help and never did. So I spent three hours in person that day with Mario helping me to get my Sereno and fixed. Mario was kind - listened to me - he got what I was saying got on the phone after pulling up both my accounts /he canceled the old account - spoke with the activation dept - got my numbers corrected and I ended up buying a phone from Mario. He took the time to help me - he listens and even though I did not go in to up grade my phone - he made the sale just knowing this nice, kind and profession man - was helping me! Was worth buy a new phone in return!!! Maybe his co worker could learn something from compassion and kindness. Thank you Mario!"
4,Amy,2025-07-14,"Staff, Maintenance",Happy with T-Mobile service. Plan flexibility is great but coverage in rural areas needs work. Would still recommend for the price point.
3,George,2025-07-09,"Customer Service, Staff",The Essentials plan is okay for the price but a device trade-in is annoying. data speeds doesn't work as advertised. Somewhat disappointed.
5,Gabriel,2025-07-09,"Coverage, Honesty & Transparency","T-Mobile's Military plan is perfect for my needs. Great signal quality, fast download speeds, and the features are awesome. Best value in wireless!"
2,Nathan,2025-07-07,"Customer Service, Sales & Marketing, Price, Staff","Terrible experience. network availability is awful in my area, payment problems every month. Switching as soon as my contract is up."
4,Stephanie,2025-07-06,"Customer Service, Punctuality & Speed, Staff",The central store provides good service. Alex was helpful with my account setup. Wait times can be long but overall positive experience.
4,Jack,2025-07-06,"Punctuality & Speed, Coverage",Overall good experience with T-Mobile. The network availability is decent and prices are fair. password reset could be improved but generally satisfied.
2,Arthur,2025-07-06,"Customer Service, Online & App","Extremely frustrated with T-Mobile. billing errors monthly, signal quality is terrible, and hotspot feature rarely works. Switching soon."
5,Arthur,2025-07-03,"Customer Service, Staff","The customer service at T-Mobile is exceptional. Jessica at the airport location was professional, knowledgeable, and friendly. Highly recommend!"
5,Roy,2025-07-01,"Coverage, Tech","T-Mobile has exceeded my expectations. Great signal quality in my area, affordable cost savings, and the customer service is top-notch. Very satisfied!"
2,Robert,2025-06-30,"Coverage, Tech",Very disappointed with T-Mobile. password reset constantly and customer service unhelpful staff. Would not recommend to others.
1,Jack,2025-06-29,"Punctuality & Speed, Coverage","T-Mobile is a complete disaster. account setup constantly, no one can help, and they keep charging me for services that don't work. Horrible!"
3,Nicole,2025-06-28,"Punctuality & Speed, Coverage",T-Mobile was great initially but password reset has become a regular problem. network speed is unreliable. Considering switching carriers.
4,Teresa,2025-06-24,"Staff, Sales & Marketing",Happy with T-Mobile service. Customer service is great but billing needs work. Would still recommend for the price point.
3,Brian,2025-06-24,"Tech, Price",Service is hit or miss. 5G access is good in some areas but terrible in others. international roaming needs improvement. Average at best.
1,Abigail,2025-06-24,"Staff, Sales & Marketing",Emergency calls only mode constantly. coverage map is a complete lie. a device trade-in and they refuse to refund or help. Worst company ever!
5,Emma,2025-06-23,"Billing, Price",Just upgraded my phone at T-Mobile and the experience was seamless. David made everything easy and I love my new device. Great service!
4,Cynthia,2025-06-22,"Coverage, Price","T-Mobile is a solid carrier. tower access is good in most places, pricing is competitive. Not perfect but gets the job done."
5,Martha,2025-06-21,"Staff, Sales & Marketing","The customer service at T-Mobile is exceptional. Mike at the shopping center location was professional, knowledgeable, and friendly. Highly recommend!"
1,Anthony,2025-06-20,"Customer Service, Coverage, Price",DO NOT USE T-MOBILE! reception doesn't exist where I live despite their coverage map showing full bars. network outages and total waste of money.
5,Daniel,2025-06-20,"Customer Service, Staff",Switched to T-Mobile 13 months ago and it was the best decision. network speed works perfectly and I'm saving $60/month compared to my old carrier.
5,Kathleen,2025-06-19,"Tech, Price","The customer service at T-Mobile is exceptional. Tom at the local location was professional, knowledgeable, and friendly. Highly recommend!"
5,Austin,2025-06-17,"Coverage, Honesty & Transparency",Switched to T-Mobile 8 months ago and it was the best decision. hotspot feature works perfectly and I'm saving $45/month compared to my old carrier.
5,Charles,2025-06-17,"Price, Billing, Refunds & Payouts",Switched to T-Mobile 15 months ago and it was the best decision. customer service works perfectly and I'm saving $60/month compared to my old carrier.
4,Michael,2025-06-17,"Customer Service, Coverage, Price",Happy with T-Mobile service. 5G service is great but customer wait times needs work. Would still recommend for the price point.
5,Johnny,2025-06-13,"Staff, Sales & Marketing","The customer service at T-Mobile is exceptional. Chris at the shopping center location was professional, knowledgeable, and friendly. Highly recommend!"
2,Donna,2025-06-12,"Customer Service, Punctuality & Speed, Staff","Extremely frustrated with T-Mobile. payment errors monthly, signal strength is terrible, and call quality rarely works. Switching soon."
1,Petey,2025-06-10,"Customer Service, Coverage, Price, Refunds & Payouts","I looked at the coverage map for where I live and it says I have coverage. I have a newer phone and my signal bars fluctuate and I get 4G LTE, 5G and 6 and on wifi, yet my phone keeps going into Emergency Calls Only mode, searching, or varying T-Mobile service. Even when I have T-Mobile service, texting and calls don't work. I can scroll on social media all day long without issues but trying to make or receive calls or texts, the phone is useless. Even when I go to other places, cities, downtown, I don't have good signal. Customer service has just told me to reset my phone, put it on airplane mode, reset wifi and none of it works. I'm carrying and paying for a rectangle just to scroll on social media. T-Mobile will be dropped just like my signal. Don't waste your time and money, it's not worth the stress and frustration."
4,Kathleen,2025-06-08,"Customer Service, Staff",Overall good experience with T-Mobile. The tower access is decent and prices are fair. a device trade-in could be improved but generally satisfied.
5,Michelle,2025-06-06,"Price, Billing, Refunds & Payouts",Switched to T-Mobile 11 months ago and it was the best decision. data speeds works perfectly and I'm saving $40/month compared to my old carrier.
4,Doris,2025-06-06,"Customer Service, Staff",Happy with T-Mobile service. Network speed is great but customer wait times needs work. Would still recommend for the price point.
2,Cheryl,2025-06-04,"Price, Billing, Refunds & Payouts","Service has deteriorated significantly. signal quality is unreliable, technical issues happens constantly. Customer service is unhelpful. Not worth it."
4,Isabella,2025-06-04,"Punctuality & Speed, Coverage",T-Mobile offers good value. Military plan works well for my needs. Occasional porting my number but nothing major. Fair pricing and decent service.
4,Raymond,2025-06-02,"Staff, Sales & Marketing",T-Mobile offers good value. Magenta plan works well for my needs. Occasional a device trade-in but nothing major. Fair pricing and decent service.
1,Jose,2025-06-01,"Tech, Price","T-Mobile has completely failed me. porting my number makes my phone useless, customer service poor coverage. Feeling totally ripped off!"
4,Harold,2025-05-31,"Staff, Sales & Marketing",Happy with T-Mobile service. 5G service is great but billing needs work. Would still recommend for the price point.
3,Jean,2025-05-28,"Punctuality & Speed, Coverage",Service is hit or miss. signal quality is good in some areas but terrible in others. call quality needs improvement. Average at best.
4,Dennis,2025-05-26,"Price, Billing, Refunds & Payouts","T-Mobile is a solid carrier. connectivity is good in most places, value is competitive. Not perfect but gets the job done."
5,Sharon,2025-05-25,"Customer Service, Punctuality & Speed, Staff",Been with T-Mobile for years and the service keeps getting better. call quality is amazing and the prices can't be beat. Very happy customer!
5,Heather,2025-05-22,"Customer Service, Online & App",I've been with T-Mobile for 1 years and couldn't be happier. The 5G coverage is excellent and the staff members are always helpful. Would definitely recommend!
2,Dennis,2025-05-20,"Customer Service, Staff",Billing nightmares every single month. a phone upgrade and they refuse to fix it. text messaging also doesn't work. Very frustrated!
1,Justin,2025-05-19,"Tech, Price","Worst experience ever. 5G access is non-existent, payment is a nightmare, overcharges. How are they still in business?"
1,Brittany,2025-05-18,"Coverage, Honesty & Transparency","T-Mobile is a complete disaster. a device trade-in constantly, no one can help, and they keep charging me for services that don't work. Horrible!"
5,Larry,2025-05-17,"Customer Service, Billing",I've been with T-Mobile for 3 years and couldn't be happier. The 5G coverage is excellent and the staff members are always helpful. Would definitely recommend!
5,Janice,2025-05-17,"Price, Billing, Refunds & Payouts","The customer service at T-Mobile is exceptional. Tom at the downtown location was professional, knowledgeable, and friendly. Highly recommend!"
4,Joan,2025-05-16,"Staff, Maintenance","T-Mobile has been reliable for the most part. Good hotspot feature and helpful staff, though long wait times. Still a solid choice overall."
2,Deborah,2025-05-16,"Staff, Maintenance","Extremely frustrated with T-Mobile. invoicing errors monthly, tower access is terrible, and call quality rarely works. Switching soon."
3,Julia,2025-05-16,"Tech, Price",T-Mobile was great initially but a device trade-in has become a regular problem. 5G coverage is unreliable. Considering switching carriers.
3,Marie,2025-05-16,"Billing, Price",Service is hit or miss. connectivity is good in some areas but terrible in others. hotspot feature needs improvement. Average at best.
